[     ?] <DBM> Starting test: TWW/Undermine/CauldronofCarnage/Normal/Wipe
[  0.00] <DBM> Timewarp >= 10, disabling sounds
[  0.00] <DBM> DBM was used in test mode with time warping in the current session, it is recommended to reload your UI prior to using DBM in a real boss fight. Everything should still work as expected, but no gurantees!
[  0.00] <DBM> The Amalgamation Chamber was merely a setback
[  0.00] <DBM> Normal - 2640 engaged. Good luck and have fun! :)
[ 10.00] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (1) |T0:12:12|t |r
[275.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (4)|r |T0:12:12|t 
[280.03] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (4)|r |T0:12:12|t 
[285.10] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (6)|r |T0:12:12|t 
[295.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (7) |T0:12:12|t |r
[305.03] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (7) - dodge attack |T0:12:12|t |r
[315.03] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (4)|r |T0:12:12|t 
[325.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (6)|r |T0:12:12|t 
[325.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (8) |T0:12:12|t |r
[330.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (8) - dodge attack |T0:12:12|t |r
[335.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (8)|r |T0:12:12|t 
[345.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (10)|r |T0:12:12|t 
[360.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (12)|r |T0:12:12|t 
[370.10] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (14)|r |T0:12:12|t 
[375.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (4)|r |T0:12:12|t 
[385.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (6)|r |T0:12:12|t 
[390.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (9) |T0:12:12|t |r
[395.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (8)|r |T0:12:12|t 
[400.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (9) - dodge attack |T0:12:12|t |r
[405.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (10)|r |T0:12:12|t 
[415.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (12)|r |T0:12:12|t 
[420.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (10) |T0:12:12|t |r
[424.97] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (14)|r |T0:12:12|t 
[425.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (10) - dodge attack |T0:12:12|t |r
[434.97] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (16)|r |T0:12:12|t 
[445.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (18)|r |T0:12:12|t 
[455.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (20)|r |T0:12:12|t 
[465.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (22)|r |T0:12:12|t 
[470.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (4)|r |T0:12:12|t 
[475.03] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (6)|r |T0:12:12|t 
[485.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (8)|r |T0:12:12|t 
[485.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (11) |T0:12:12|t |r
[495.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (10)|r |T0:12:12|t 
[495.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (11) - dodge attack |T0:12:12|t |r
[510.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (12)|r |T0:12:12|t 
[515.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (12) |T0:12:12|t |r
[520.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (14)|r |T0:12:12|t 
[520.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (12) - dodge attack |T0:12:12|t |r
[530.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (16)|r |T0:12:12|t 
[565.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (4)|r |T0:12:12|t 
[565.00] <2640>  |T0:12:12|t |cfff2f200Blistering Spite (4)|r |T0:12:12|t 
[570.13] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (6)|r |T0:12:12|t 
[580.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (8)|r |T0:12:12|t 
[580.07] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (13) |T0:12:12|t |r
[590.10] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (13) - dodge attack |T0:12:12|t |r
[595.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (10)|r |T0:12:12|t 
[605.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (12)|r |T0:12:12|t 
[610.10] <2640> |cffffb200[Special Warning]  |T0:12:12|t Bomb - soak (14) |T0:12:12|t |r
[615.00] <2640>  |T0:12:12|t |cfff2f200Galvanized Spite (14)|r |T0:12:12|t 
[615.10] <2640> |cffffb200[Special Warning]  |T0:12:12|t Thunderdrum Salvo (14) - dodge attack |T0:12:12|t |r
[619.67] <DBM> Combat against Normal - 2640 (Unknown) ended after 10 |4minute:minutes; and 19.66 |4second:seconds;. You have 1 total wipe(s) on this difficulty.
[619.67] <DBM> DBM was used in test mode with time warping in the current session, it is recommended to reload your UI prior to using DBM in a real boss fight. Everything should still work as expected, but no gurantees!
[619.67] <DBM> DBM was used in test mode with time warping in the current session, it is recommended to reload your UI prior to using DBM in a real boss fight. Everything should still work as expected, but no gurantees!
[622.80] <DBM> Test playback for test TWW/Undermine/CauldronofCarnage/Normal/Wipe finished.
